PMID,Title,Abstract
34968008,Molnupiravir: A new candidate for COVID-19 treatment.,"The novel coronavirus disease 2019 (COVID-19) emerged in late December 2019 in china and has rapidly spread to many countries around the world. The effective pharmacotherapy can reduce the mortality of COVID-19. Antiviral medications are the candidate therapies for the management of COVID-19. Molnupiravir is an antiviral drug with anti-RNA polymerase activity and currently is under investigation for the treatment of patients with COVID-19. This review focuses on summarizing published literature for the mechanism of action, safety, efficacy, and clinical trials of molnupiravir in the treatment of COVID-19 patients."
34914868,Molnupiravir for Oral Treatment of Covid-19 in Nonhospitalized Patients.,"BACKGROUND: New treatments are needed to reduce the risk of progression of coronavirus disease 2019 (Covid-19). Molnupiravir is an oral, small-molecule antiviral prodrug that is active against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). METHODS: We conducted a phase 3, double-blind, randomized, placebo-controlled trial to evaluate the efficacy and safety of treatment with molnupiravir started within 5 days after the onset of signs or symptoms in nonhospitalized, unvaccinated adults with mild-to-moderate, laboratory-confirmed Covid-19 and at least one risk factor for severe Covid-19 illness. Participants in the trial were randomly assigned to receive 800 mg of molnupiravir or placebo twice daily for 5 days. The primary efficacy end point was the incidence hospitalization or death at day 29; the incidence of adverse events was the primary safety end point. A planned interim analysis was performed when 50% of 1550 participants (target enrollment) had been followed through day 29. RESULTS: A total of 1433 participants underwent randomization; 716 were assigned to receive molnupiravir and 717 to receive placebo. With the exception of an imbalance in sex, baseline characteristics were similar in the two groups. The superiority of molnupiravir was demonstrated at the interim analysis; the risk of hospitalization for any cause or death through day 29 was lower with molnupiravir (28 of 385 participants [7.3%]) than with placebo (53 of 377 [14.1%]) (difference, -6.8 percentage points; 95% confidence interval [CI], -11.3 to -2.4; P = 0.001). In the analysis of all participants who had undergone randomization, the percentage of participants who were hospitalized or died through day 29 was lower in the molnupiravir group than in the placebo group (6.8% [48 of 709] vs. 9.7% [68 of 699]; difference, -3.0 percentage points; 95% CI, -5.9 to -0.1). Results of subgroup analyses were largely consistent with these overall results; in some subgroups, such as patients with evidence of previous SARS-CoV-2 infection, those with low baseline viral load, and those with diabetes, the point estimate for the difference favored placebo. One death was reported in the molnupiravir group and 9 were reported in the placebo group through day 29. Adverse events were reported in 216 of 710 participants (30.4%) in the molnupiravir group and 231 of 701 (33.0%) in the placebo group. CONCLUSIONS: Early treatment with molnupiravir reduced the risk of hospitalization or death in at-risk, unvaccinated adults with Covid-19. (Funded by Merck Sharp and Dohme; MOVe-OUT ClinicalTrials.gov number, NCT04575597.)."
35118917,"Efficacy and safety of three new oral antiviral treatment (molnupiravir, fluvoxamine and Paxlovid) for COVID-19：a meta-analysis.","BACKGROUND: The coronavirus disease (COVID-19) epidemic has not been completely controlled. Although great achievements have been made in COVID-19 research and many antiviral drugs have shown good therapeutic effects against COVID-19, a simple oral antiviral drug for COVID-19 has not yet been developed. We conducted a meta-analysis to investigate the improvement in mortality or hospitalization rates and adverse events among COVID-19 patients with three new oral antivirals (including molnupiravir, fluvoxamine and Paxlovid). METHODS: We searched scientific and medical databases, such as PubMed, Web of Science, Embase and Cochrane Library for relevant articles and screened the references of retrieved studies on COVID-19. RESULTS: A total of eight studies were included in this study. The drug group included 2440 COVID-19 patients, including 54 patients who died or were hospitalized. The control group included a total of 2348 COVID-19 patients, including 118 patients who died or were hospitalized. The overall odds ratio (OR) of mortality or hospitalization was 0.33 (95% confidence interval [CI], 0.22-0.49) for COVID-19 patients in the drug group and placebo group, indicating that oral antiviral drugs were effective for COVID-19 patients and reduced the mortality or hospitalization by approximately 67%. CONCLUSIONS: This study showed that three novel oral antivirals (molnupiravir, fluvoxamine and Paxlovid) are effective in reducing the mortality and hospitalization rates in patients with COVID-19. In addition, the three oral drugs did not increase the occurrence of adverse events, thus exhibiting good overall safety. These three oral antiviral drugs are still being studied, and the available data suggest that they will bring new hope for COVID-19 recovery and have the potential to be a breakthrough and very promising treatment for COVID-19.KEY MESSAGESMany antiviral drugs have shown good therapeutic effects, and there is no simple oral antiviral drug for COVID-19 patients.Meta-analysis was conducted for three new oral antivirals to evaluate the improvement in mortality or hospitalization rates and adverse events among COVID-19 patients.We focussed on three new oral Coronavirus agents (molnupiravir, fluvoxamine and Paxlovid) and hope to provide guidance for the roll-out of oral antivirals."
34902743,RdRp inhibitors and COVID-19: Is molnupiravir a good option?,"Rapid changes in the viral genome allow viruses to evade threats posed by the host immune response or antiviral drugs, and can lead to viral persistence in the host cells. RNA-dependent RNA polymerase (RdRp) is an essential enzyme in RNA viruses, which is involved in RNA synthesis through the formation of phosphodiester bonds. Therefore, in RNA viral infections such as SARS-CoV-2, RdRp could be a crucial therapeutic target. The present review discusses the promising application of RdRp inhibitors, previously approved or currently being tested in human clinical trials, in the treatment of RNA virus infections. Nucleoside inhibitors (NIs) bind to the active site of RdRp, while nonnucleoside inhibitors (NNIs) bind to allosteric sites. Given the absence of highly effective drugs for the treatment of COVID-19, the discovery of an efficient treatment for this pandemic is an urgent concern for researchers around the world. We review the evidence for molnupiravir (MK-4482, EIDD-2801), an antiviral drug originally designed for Alphavirus infections, as a potential preventive and therapeutic agent for the management of COVID-19. At the beginning of this pandemic, molnupiravir was in preclinical development for seasonal influenza. When COVID-19 spread dramatically, the timeline for development was accelerated to focus on the treatment of this pandemic. Real time consultation with regulators took place to expedite this program. We summarize the therapeutic potential of RdRp inhibitors, and highlight molnupiravir as a new small molecule drug for COVID-19 treatment."
35245942,Molnupiravir and Nirmatrelvir-Ritonavir: Oral COVID Antiviral Drugs.,"At a crucial time with rapid spread of Omicron SARS-CoV-2 virus variant globally, the United States Food and Drug Administration has issued an emergency use authorization for two oral antivirals molnupiravir (>18 years) and nirmatrelvir-ritonavir (Paxlovid) (≥12 years; >40kg ) for the outpatient treatment of mild to moderate COVID-19 patients who are at risk for progression. Molnupiravir is a nucleoside analogue, whereas nirmatrelvir is a SARS-CoV-2 main protease inhibitor, and ritonavir is an HIV-1 protease inhibitor. Drug interactions are a major concern for nirmatrelvir-ritonavir. Nirmatrelvir-ritonavir demonstrated a greater risk reduction in hospitalization and death than molnupiravir compared to placebo. Both drugs need to be started within five days of symptoms onset and given for five days duration. This article will review the two oral COVID-19 antiviral drugs including the mechanisms of action, antiviral activity, pharmacokinetics, drug interactions, clinical experience including trials, adverse events, recommended indications, and formulary considerations."
35444647,Molnupiravir and Its Antiviral Activity Against COVID-19.,"The coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) constitutes a major worldwide public health threat and economic burden. The pandemic is still ongoing and the SARS-CoV-2 variants are still emerging constantly, resulting in an urgent demand for new drugs to treat this disease. Molnupiravir, a biological prodrug of NHC (β-D-N(4)-hydroxycytidine), is a novel nucleoside analogue with a broad-spectrum antiviral activity against SARS-CoV, SARS-CoV-2, Middle East respiratory syndrome coronavirus (MERS-CoV), influenza virus, respiratory syncytial virus (RSV), bovine viral diarrhea virus (BVDV), hepatitis C virus (HCV) and Ebola virus (EBOV). Molnupiravir showed potent therapeutic and prophylactic activity against multiple coronaviruses including SARS-CoV-2, SARS-CoV, and MERS-CoV in animal models. In clinical trials, molnupiravir showed beneficial effects for mild to moderate COVID-19 patients with a favorable safety profile. The oral bioavailability and potent antiviral activity of molnupiravir highlight its potential utility as a therapeutic candidate against COVID-19. This review presents the research progress of molnupiravir starting with its discovery and synthesis, broad-spectrum antiviral effects, and antiviral mechanism. In addition, the preclinical studies, antiviral resistance, clinical trials, safety, and drug tolerability of molnupiravir are also summarized and discussed, aiming to expand our knowledge on molnupiravir and better deal with the COVID-19 epidemic."
34894208,Pharmacological treatment of COVID-19: an opinion paper.,"The precocity and efficacy of the vaccines developed so far against COVID-19 has been the most significant and saving advance against the pandemic. The development of vaccines has not prevented, during the whole period of the pandemic, the constant search for therapeutic medicines, both among existing drugs with different indications and in the development of new drugs. The Scientific Committee of the COVID-19 of the Illustrious College of Physicians of Madrid wanted to offer an early, simplified and critical approach to these new drugs, to new developments in immunotherapy and to what has been learned from the immune response modulators already known and which have proven effective against the virus, in order to help understand the current situation."
34941423,A phase 2a clinical trial of molnupiravir in patients with COVID-19 shows accelerated SARS-CoV-2 RNA clearance and elimination of infectious virus.,"There is an urgent need for an effective, oral, direct-acting therapeutic to block transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and prevent progression to severe coronavirus disease 2019 (COVID-19). In a phase 2a double-blind, placebo-controlled, randomized, multicenter clinical trial, we evaluated the safety, tolerability, and antiviral efficacy of the nucleoside analog molnupiravir in 202 unvaccinated participants with confirmed SARS-CoV-2 infection and symptom duration <7 days. Participants were randomized 1:1 to receive molnupiravir (200 mg) or placebo and then 3:1 to receive molnupiravir (400 or 800 mg) or placebo, orally twice daily for 5 days. Antiviral activity was assessed by reverse transcriptase polymerase chain reaction (RT-PCR) for SARS-CoV-2 RNA in nasopharyngeal swabs. Infectious virus was assessed by inoculation of cultured Vero cells with samples from nasopharyngeal swabs and was detected by RT-PCR. Time to viral RNA clearance (primary endpoint) was decreased in the 800-mg molnupiravir group (median 14 days) compared to the placebo group (median 15 days) (log rank P value = 0.013). Of participants receiving 800 mg of molnupiravir, 92.5% achieved viral RNA clearance compared with 80.3% of placebo recipients by study end (4 weeks). Infectious virus (secondary endpoint) was detected in swabs from 1.9% of the 800-mg molnupiravir group compared with 16.7% of the placebo group at day 3 of treatment (P = 0.016). At day 5 of treatment, infectious virus was not isolated from any participants receiving 400 or 800 mg of molnupiravir compared with 11.1% of placebo recipients (P = 0.034 and 0.027, respectively). Molnupiravir was well tolerated across all doses."
34914869,Molnupiravir - A Step toward Orally Bioavailable Therapies for Covid-19.,
35101888,Molnupiravir in unvaccinated patients with COVID-19.,"Overview of: Jayk Bernal A, Gomes da Silva MM, Musungaie DB, et al Molnupiravir for oral treatment of COVID-19 in nonhospitalized patients. NEJM 2021;doi:10.1056/NEJMoa2116044 [Epub ahead of print 16 Dec 2021]."
